"","Title","Week","Premiere","IMDb"
"525","Warrior Nun",391,2020-07-02,"6.9"
"526","We Are the Wave",356,2019-11-01,"6.1"
"527","Wet Hot American Summer: First Day of Camp",134,2015-07-31,"7.4"
"528","Wet Hot American Summer: Ten Years Later",239,2017-08-04,"6.9"
"529","When They See Us",334,2019-05-31,"8.9"
"530","White Lines",384,2020-05-15,"6.6"
"531","Who Killed Little Gregory?",359,2019-11-20,"7.4"
"532","Whose Vote Counts, Explained",403,2020-09-28,"7.3"
"533","Wild District",302,2018-10-19,"8.3"
"534","Wild Wild Country",271,2018-03-16,"8.1"
"535","World's Most Wanted",396,2020-08-05,"7.2"
"536","Wormwood",258,2017-12-15,"7.0"
"537","Wu Assassins",344,2019-08-08,"6.5"
"538","Yankee",336,2019-06-14,"6.0"
"539","YG Future Strategy Office",300,2018-10-05,"7.0"
"540","You Are Wanted",218,2017-03-12,"6.0"
"541","Young Wallander",400,2020-09-03,"6.8"
"542","Z: The Beginning of Everything",212,2017-01-27,"7.1"
